label;genre;origin
Aaliyah;F;english (modern)
Aapeli;M;finnish
Aapo;M;finnish
Aar;M;spanish
Aaren;M,F;english
Aarne;M;finnish
Aaron;M;english, biblical
Aatami;M;finnish
Aatto;M;finnish
Aatu;M;finnish
Abaddon;M;biblical
Abb;M;irish
Abbas;M;arabic
Abbey;F;english
Abbie;F;english
Abby;F;english
Abd;M;
Abd-Al-Aziz;M;arabic
Abd-Al-Malik;M;arabic
Abd-Al-Qadir;M;arabic
Abd-Al-Rahman;M;arabic
Abd-Allah;M;arabic
Abdallah;M;
Abdel;M;
Abdelkader;M;
Abdellah;M;
Abderrahmane;M;
Abdou;M;
Abdoul;M;
Abdoulaye;M;
Abdourahmane;M;
Abdramane;M;
Abdul;M;arabic
Abdul-Aziz;M;arabic
Abdul-Rahman;M;arabic
Abdullah;M;arabic
Abe;M;english, jewish
Abednego;M;biblical
Abegail;F;spanish
Abel;M;english, french, spanish, biblical
Abelone;F;danish
Abena;F;african
Abeni;F;african
Abhay;M;indian
Abiah;M,F;biblical
Abidan;M;biblical
Abidemi;M;african
Abiel;M;biblical
Abiga;F;
Abigaël;F;
Abigaëlle;F;
Abigail;F;english, german, biblical
Abigayle;F;english (modern)
Abihu;M;biblical
Abijah;M,F;biblical
Abilene;F;biblical
Abimael;M;biblical
Abiram;M;biblical
Abisai;M;biblical (variant)
Abishag;F;biblical
Abishai;M;biblical
Abishan;M;
Abital;F;biblical
Abla;F;arabic
Abner;M;english, biblical
Aboubacar;M;
Aboubakar;M;
Abraham;M;english, jewish, biblical
Abram;M;biblical
Absalom;M;english, biblical
Absolon;M;french
Aby;F;
Acacia;F;english
Acacius;M;ancient greek (latinized)
Acantha;F;greek mythology (latinized)
Ace;M;english
Achaicus;M;biblical, ancient greek (latinized)
Achan;M;biblical
Achieng;F;african
Achille;M;french, italian
Achilles;M;greek mythology (latinized)
Achim;M;german
Achraf;M;
Acke;M;swedish
Ad;M;portuguese,spanish
Ada;F;english
Adah;F;biblical
Adair;M;
Adalbert;M;ancient germanic, german
Adalberto;M;italian, spanish, portuguese
Adalheid;F;german
Adalia;M;biblical
Adam;M;english, french, german, polish, russian, rom
Adama;M,F;
Adame;M,F;
Adamina;F;english
Adamo;M;italian
Adara;F;
Addie;F;english
Addison;M,F;english
Addy;F;english
Adel;M;arabic
Adela;F;english
Adelaïde;F;english
Adèle;F;
Adelheid;F;german, dutch
Adelia;F;english
Adelie;F;
Adelina;F;italian, portuguese, spanish
Adeline;F;french, english
Adelle;F;english
Adelmar;M;german
Adem;M;turkish
Aden;M;
Adena;F;
Adhara;F;astronomy
Adhiambo;F;african
Adi;F;jewish
Adib;M;
Adil;M;arabic
Adina;F,M;biblical
Adino;M;biblical
Adisa;M;african
Aditya;M;indian
Adja;F;
Adjoa;F;african
Adlai;M;biblical
Adolf;M;german
Adolfo;M;italian, spanish
Adolph;M;english
Adolphe;M;french
Adolphus;M;history
Adonai;M;theology
Adonia;F;
Adonijah;M;biblical
Adonis;M;greek mythology
Adora;F;spanish
Adorinda;F;esperanto
Adorj;M;hungarian
Adrasteia;F;greek mythology
Adrastos;M;greek mythology
Adri;M;spanish
Adria;F;english
Adriaan;M;dutch
Adrian;M;english, romanian, russian
Adriana;F;italian, spanish, portuguese, romanian, engli
Adrianna;F;english
Adrianne;F;english
Adriano;M;italian
Adriel;M;
Adrien;M;french
Adrienn;F;hungarian
Adrienne;F;french
Adwoa;F;african
Aegle;F;greek mythology (latinized)
Aella;F;greek mythology
Aemilia;F;ancient roman
Aeneas;M;roman mythology
Aengus;M;irish
Aeolus;M;greek mythology (latinized)
Aeron;M,F;welsh
Aeronwen;F;welsh
Aeronwy;F;welsh
Aeschylus;M;ancient greek (latinized)
Aeson;M;greek mythology (latinized)
Aesop;M;ancient greek (anglicized)
Afanasi;M;russian
Afanasy;M;russian
Afanen;F;welsh
Afia;F;african
Afolabi;M;african
Afon;F,M;welsh
Afonso;M;portuguese
Afra;F;
Africa;F;english
Afua;F;african
Agafya;F;russian
Agamemnon;M;greek mythology
Agape;F;greek, ancient greek
Agapios;M;greek, ancient greek
Agata;F;italian, spanish, polish, czech, slovene, rus
Agatha;F;english
Agathangelos;F;ancient greek
Agathe;F;french, german, greek, ancient greek
Agathon;M;ancient greek
Agaue;F;greek mythology
Aggie;F;english
Aghavni;F;armenian
Agla;F;
Aglaé;F;
Aglaia;F;greek mythology, greek
Aglaya;F;russian
Aglea;F;
Agn;F;french
Agnès;F;english, german, dutch, scandinavian
Agnese;F;italian, latvian
Agnessa;F;russian
Agneta;F;swedish
Agnethe;F;german
Agnieszka;F;polish
Agostina;F;italian
Agostinho;M;portuguese
Agostino;M;italian
Agrafena;F;russian
Agrippa;M;ancient roman, biblical
Agrippina;F;ancient roman
Agrona;F;celtic mythology
Agust;M;spanish
Ah;M,F;chinese
Ahab;M;biblical
Aharon;M;jewish
Ahmad;M;arabic
Ahmed;M;arabic
Ahmet;M;turkish
Ahriman;M;near eastern mythology
Ahtahkakoop;M;native american
Ahura Mazda;M;near eastern mythology
Ahuva;F;jewish
Ai;F;japanese, chinese
Aias;M;greek mythology
Aicha;F;
Aïda;F;english
Aidan;M,F;irish, scottish
Aiden;M;
Aikaterine;F;greek
Ail;M,F;irish
Ailbhe;M,F;irish
Aileas;F;scottish
Aileen;F;scottish, english
Ailill;M;irish, irish mythology
Ailpein;M;scottish
Ailsa;F;scottish
Aim;M,F;french
Aimé;M;
Aimee;F;
Aimo;M;finnish
Aïna;F;spanish
Aindrea;M;scottish
Aingeal;F;irish
Aino;F;finnish
Ainsley;M,F;english, scottish
Ainslie;M,F;english, scottish
Aintzane;F;basque
Aiolos;M;greek mythology
Aïsha;F;arabic
